OID_,Shape_Length,노선명,버스정류장 수,평균구간길이(Km)
209,0.42103422682329,504,96,0.4385773196075938
210,0.541743500236145,505,101,0.536379703204104
211,0.408594946034694,506,100,0.40859494603469393
212,0.438446999170628,507,105,0.41756857063869335
213,0.462390569180806,540,94,0.49190486083064466
214,0.533180167483552,541,123,0.4334798109622374
215,0.352891275387976,5413,86,0.4103386923116
216,0.577223061412823,542,138,0.4182775807339297
217,0.015203792099169,54321,3,0.5067930699723
218,0.227218039444276,5511,77,0.2950883629146442
219,0.128313636106872,5513,44,0.2916219002428909
220,0.092514645177519,5515,32,0.2891082661797469
221,0.269504232538749,5516,75,0.35933897671833204
222,0.328983041059924,5517,92,0.3575902620216565
223,0.079858003087455,5519,30,0.26619334362485
224,0.168429179723319,5522A난곡,59,0.2854731859717271
225,0.17109097455129,5522B호암,54,0.31683513805794444
226,0.116025060775451,5523,36,0.32229183548736384
227,0.336162038643468,5524,94,0.35761919004624254
228,0.135035738696074,5525,44,0.3068994061274409
229,0.341624400018992,5528,82,0.41661512197438055
230,0.522899827225323,5530,115,0.4546955019350635
231,0.48379125073843,5531,110,0.43981022794402724
232,0.313043501227661,5535,82,0.3817603673508061
233,0.267972076374084,5536,65,0.41226473288320614
234,0.09896207284278,5537,28,0.3534359744385
235,0.019436894537849,5538,5,0.38873789075698
236,0.105332205274949,5611,37,0.2846816358782406
237,0.260819372084485,5615,64,0.40753026888200783
238,0.397523568340912,5616,116,0.3426927313283724
239,0.091756601980697,5617,18,0.5097588998927611
240,0.288290780857077,5618,68,0.42395703067217205
241,0.164748925503002,5619,54,0.305090602783337
242,0.226163487048045,5620,68,0.3325933633059486
243,0.059438416373228,5621,18,0.3302134242957111
244,0.507438089825246,5623,120,0.42286507485437164
245,0.414303952929671,5624,97,0.4271174772470835
246,0.354340968796457,5625,78,0.45428329332879097
247,0.460477186412538,5626,106,0.43441244001182827
248,0.328094902713442,5627,71,0.46210549677949575
249,0.266224782052074,5630,71,0.3749644817634845
250,0.495868648991149,5633,112,0.44273986517066877
251,0.255430770334452,5634,56,0.4561263755972357
252,0.490223325961699,571,121,0.40514324459644546
253,0.399605217282316,5712,92,0.4343534970459957
254,0.456507061009331,5713,92,0.49620332718405546
255,0.38333315341,5714,95,0.40350858253684213
256,0.381365079573741,600,69,0.552703013874987
257,1.384215674282987,6001,63,2.1971677369571223
258,1.414855516946395,6002,69,2.050515241951297
259,1.290298882142642,6003,64,2.016092003347878
260,1.114229961380067,6004,36,3.0950832260557415
261,1.295351501276302,6005,60,2.1589191687938367
262,1.51855884302902,6006,58,2.618204901774172
263,1.710434931411346,6006-1,65,2.6314383560174557
264,1.217941786808856,6007,46,2.6476995365409914
265,1.20756717324814,6008,56,2.1563699522288213
266,1.588852269948118,6009,75,2.1184696932641573
267,1.686347273563146,6009-1,72,2.3421489910599247
268,0.500900258468299,601,77,0.650519816192596
269,1.425969207670502,6010,70,2.037098868100717
270,1.457451246395346,6011,62,2.3507278167666867
271,1.268636896949248,6012,60,2.114394828248747
272,1.572589966299041,6013,64,2.4571718223422514
273,1.22845163866491,6014,56,2.1936636404730536
274,1.3043141498811,6015,54,2.4153965738538887
275,1.410300797019065,6016,64,2.2035949953422893
276,1.37445877729527,6017,59,2.329591147958085
277,1.171164491466289,6018,59,1.9850245618072697
278,1.35839725252128,6019,61,2.226880741838164
279,0.386199933281742,602,85,0.45435286268440234
280,1.415092865627275,6020,57,2.4826190625039914
281,1.414549300404665,6020-1,57,2.48166543930643
282,0.340466906024879,603,80,0.4255836325310987
283,1.330729495451566,6030,45,2.9571766565590356
284,0.403444556197647,604,89,0.45330849010971574
285,0.544890643600539,605,104,0.5239333111543644
286,0.601393362943757,606,125,0.48111469035500554
287,1.674421712634772,6100,50,3.348843425269544
288,0.785589837934191,6101,25,3.142359351736764
289,1.509096006600139,6102,42,3.593085730000331
290,1.485526179821628,6103,49,3.0316860812686284
291,0.74225861619945,6105,37,2.0061043681066213
292,1.731153755105518,6200,72,2.4043802154243306
293,0.494932069443919,6211,110,0.44993824494901724
294,1.82311272925472,6300,84,2.1703722967318093
295,1.913597665142277,6300-1,81,2.3624662532620704
296,0.411725742835667,640,79,0.5211718263742621
297,0.40705610349211,641,98,0.4153633709103164
298,0.524784899456954,6411,117,0.4485341020999606
299,0.585556408473962,642,122,0.4799642692409524
300,0.463533262083103,643,85,0.5453332495095329
301,0.403366638444993,650,97,0.41584189530411647
302,1.487132308049739,6500,62,2.3986004968544177
303,0.47526584471678,651,98,0.48496514767018367
304,0.336266459728605,6511,89,0.37782748284112927
305,0.342149350041831,6512,80,0.4276866875522888
